effect_key,name,kind,duration,estimated_value,manual_override,pulse_type,pulse_value,pulse_derived_from,modifier_total_abs,modifiers_json,onTargeted_type,onTargeted_value,onDamaged_type,onDamaged_value,onDeath_type,onDeath_value,healApplierOnPulse,spreadEffectToAdjacentOnPulse,preventSingleTarget,taunt,blocksProjectileAndColumn,redirectSingleTargetToEffectApplier,forceMultiTargetToSelf,forceSingleTargetLowestArmor,preventMovement,trigger,spellSpec_targets,spellSpec_formula,notes,description
Poison,Poison,debuff,permanent,12,,damage,2,,0,,,,,,,,,,,,,,,,,,,,,Deals 2 damage at the beginning of each round.
CloudedPoison,Clouded Poison,debuff,2,4,,damage,2,,0,,,,,,,,,,,,,,,,,,,,,Deals 2 damage at the beginning of each round for 2 rounds.
Marked,Marked,debuff,permanent,1.5,,,,,0,,,,,,,,,,,,,,,,,,,,,A debuff that makes this hero vulnerable to Assassin abilities.
WildfireTurret,Wildfire Turret,neutral,3,0,,,,,0,,,,,,,,,,,,,,,,,onRoundStart,"[{""type"":""projectile"",""side"":""enemy""}]","{""type"":""attackPower"",""value"":3}",,"At the start of each round, fires a projectile for 3 damage at a random enemy for 3 rounds."
Burn,Burn,debuff,permanent,6,,damage,1,,0,,,,,,,,,,,,,,,,,,,,,Deals 1 damage at the beginning of each round.
Wildfire,Wildfire,debuff,permanent,15.600000000000001,,damage,1,,0,,,,,,,,,Wildfire,,,,,,,,,,,,"At the beginning of each round, first deals 1 damage to this hero, then applies Wildfire to adjacent heroes."
HeatingUp,Heating Up,buff,permanent,1,,,,,0,,,,,,,,,,,,,,,,,,,,,Spells cast by this hero apply Burn to all targeted enemies.
Acid,Acid,debuff,permanent,21,,damage,1,roundNumber,0,,,,,,,,,,,,,,,,,,,,,Deals damage equal to the current round number at the beginning of each round.
ArmorMelt,Armor Melt,debuff,permanent,12.899999999999999,,damage,1,,1,"{""armor"":-1}",,,,,,,,,,,,,,,,,,,,Reduces Armor by 1 and deals 1 damage at the beginning of each round.
Slowed,Slowed,debuff,permanent,6.8999999999999995,,,,,1,"{""speed"":-1}",,,,,,,,,,,,,,,,,,,,Reduces Speed by 1.
Shielded,Shielded,buff,2,4.800000000000001,,,,,3,"{""armor"":3}",,,,,,,,,,,,,,,,,,,,Grants +3 Armor for 2 rounds.
TimeWarp,Time Warp,debuff,permanent,13.799999999999999,,,,,2,"{""speed"":-2}",,,,,,,,,,,,,,,,,,,,Reduces Speed by 2 for 2 rounds.
DragonScales,Dragon Scales,passive,permanent,0,,,,,0,,,,,,,,,,,,,,,,,,,,,Passive: Dragon's Armor and Speed ignore effect-based modifiers but still scale with augments.
DragonYear,Dragon Year,buff,permanent,14.4,,,,,3,"{""spellPower"":2,""armor"":1}",,,,,,,,,,,,,,,,,,,,Permanent: grants +2 Spell Power and +1 Armor.
BulwarkAura,Bulwark Aura,buff,permanent,9.600000000000001,,,,,2,"{""armor"":1,""speed"":1}",,,,,,,,,,,,,,,,,,,,Grants +1 Armor and +1 Speed for 2 rounds.
Haste,Haste,buff,permanent,9.600000000000001,,,,,2,"{""speed"":2}",,,,,,,,,,,,,,,,,,,,Grants +2 Speed for 2 rounds.
SpeedUp,Speed up,buff,permanent,4.800000000000001,,,,,1,"{""speed"":1}",,,,,,,,,,,,,,,,,,,,Increases Speed by 1.
Quickness,Quickness,buff,permanent,9.600000000000001,,,,,2,"{""speed"":1,""spellPower"":1}",,,,,,,,,,,,,,,,,,,,Increases Speed and Spell Power by 1.
BlessedRegen,Blessed Regen,buff,7,5.1,,heal,1,,0,,,,,,,,,,,,,,,,,,,,,Heals 1 at the beginning of each round for up to 7 rounds.
Regen,Regen,buff,7,5.1,,heal,1,,0,,,,,,,,,,,,,,,,,,,,,Heals 1 at the beginning of each round for up to 7 rounds.
Spores,Spores,debuff,7,9.9,,damage,1,,0,,,,,,,,1,,,,,,,,,,,,,Deals 1 damage at the beginning of each round and heals the applier for 1.
ProtectiveGrowth,Protective Growth,buff,permanent,4,,,,,0,,,,,,,,,,,,,,true,,,,,,,Enemy multi-target spells are redirected to this hero.
Dexterity,Dexterity,buff,permanent,9.600000000000001,,,,,2,"{""armor"":1,""speed"":1}",,,,,,,,,,,,,,,,,,,,Permanently grants +1 Armor and +1 Speed.
DexterityII,Dexterity II,buff,permanent,19.200000000000003,,,,,4,"{""armor"":2,""speed"":2}",,,,,,,,,,,,,,,,,,,,Permanently grants +2 Armor and +2 Speed.
WatcherPrayer,Watcher Prayer,buff,7,2.25,,,,,0,,,,,,healAlliesExceptSelf,3,,,,,,,,,,,,,,"On death, heals all allies except self for 3 (expires after 7 rounds)."
VengefulWards,Vengeful Wards,neutral,3,2.3,,,,,0,,damage,2,,,,,,,,,,,,,,,,,,"When targeted, deal 2 damage back for 3 rounds."
Bleed,Bleed,debuff,permanent,6,,damage,1,,0,,,,,,,,,,,,,,,,,,,,,Deals 1 Damage at the beginning of each round.
Leech,Leech,debuff,permanent,18,,damage,3,,0,,,,,,,,,,,,,,,,,,,,,Deals 3 damage at the beginning of each round.
Elixir,Elixir,buff,permanent,14.4,,,,,3,"{""speed"":1,""armor"":1,""spellPower"":1}",,,,,,,,,,,,,,,,,,,,"Permanently grants +1 Speed, +1 Armor, and +1 Spell Power."
LieInWait,Lie In Wait,buff,5,13,,,,,2,"{""spellPower"":2}",,,,,,,,,true,,,,,,,,,,,Grants +2 Spell Power and makes the affected hero untargetable by single-target spells for 5 rounds.
LieInWaitLevel5,Lie In Wait,buff,1,6.6,,,,,2,"{""spellPower"":2}",,,,,,,,,true,,,,,,,,,,,Grants +2 Spell Power and makes the affected hero untargetable by single-target spells for 1 round.
Fade,Fade,buff,5,9,,,,,1,"{""spellPower"":1}",,,,,,,,,true,,,,,,,,,,,Grants +1 Spell Power and makes the affected hero untargetable by single-target spells for 5 rounds.
Taunt,Taunt,buff,permanent,4,,,,,0,,,,,,,,,,,true,,,,,,,,,,Forces non-projectile single-target enemy spells to target this Hero.
Loyalty,Loyalty,buff,7,4,,,,,0,,,,,,,,,,,,,true,,,,,,,,"If an enemy single-target spell would target this hero, it targets the Shield Maiden who applied Loyalty instead (if able)."
Defend,Defend,buff,permanent,8.8,,,,,1,"{""armor"":1}",,,,,,,,,,,true,,,,,,,,,Increases Armor by 1 and nullifies projectile and column attacks that would hit this hero.
Subjugation,Subjugation,buff,permanent,2.5,,,,,0,,,,,,,,,,,,,,,true,,,,,,Single-target spells cast by this hero always target the lowest Armor.
IronForge,Iron Forge,buff,permanent,9.600000000000001,,,,,2,"{""armor"":1,""spellPower"":1}",,,,,,,,,,,,,,,,,,,,Permanently grants +1 Armor and +1 Spell Power.
IronForgeII,Iron Forge II,buff,permanent,19.200000000000003,,,,,4,"{""armor"":2,""spellPower"":2}",,,,,,,,,,,,,,,,,,,,Permanently grants +2 Armor and +2 Spell Power.
GiveAQuest,Give A Quest,buff,permanent,1,,,,,0,,,,,,,,,,,,,,,,,,,,,"When this hero gets a killing blow, heal 2 and gain Iron Forge."
