effect_key,name,kind,duration,turn_basis,default_turns_used,pulse_type,per_turn_value,modifier_total_abs,reactive_value,protection_value,spread_or_bonus_value,current_estimated_total,manual_value,notes,description
Poison,Poison,debuff,permanent,expected_turns_alive,6,damage,2,0,0,0,0,Target_expected_turns_alive*2,,,Deals 2 damage at the beginning of each round.
Marked,Marked,debuff,permanent,static_or_triggered,6,,,0,0,0,0,1.5,,,A debuff that makes this hero vulnerable to Assassin abilities.
Burn,Burn,debuff,permanent,expected_turns_alive,6,damage,1,0,0,0,0,Target_expected_turns_alive*1,,,Deals 1 damage at the beginning of each round.
Wildfire,Wildfire,debuff,permanent,expected_turns_alive,6,damage,1,0,0,0,1.6,Target_expected_turns_alive*2.5,,,"At the beginning of each round, first deals 1 damage to this hero, then applies Wildfire to adjacent heroes."
HeatingUp,Heating Up,buff,permanent,static_or_triggered,6,,,0,0,0,0,Target_expected_turns_alive*2.5,,,Spells cast by this hero apply Burn to all targeted enemies.
Acid,Acid,debuff,permanent,expected_turns_alive,6,damage,roundNumber,0,0,0,0,Target_expected_turns_alive*3,,,Deals damage equal to the current round number at the beginning of each round.
ArmorMelt,Armor Melt,debuff,permanent,expected_turns_alive,6,damage,1,1,0,0,0,Total_Target_expected_turns_alive*1.5,,,Reduces Armor by 1 and deals 1 damage at the beginning of each round.
Slowed,Slowed,debuff,permanent,expected_turns_alive,6,,,1,0,0,0,(Target_Current_ECV - Target_ECV_After_Debuff) + ((Target_Tile_Value_Before - Target_Tile_Value_After_Debuff) * Target_expected_turns_alive * 0.5),,,Reduces Speed by 1.
TimeWarp,Time Warp,debuff,permanent,expected_turns_alive,6,,,2,0,0,0,(Target_Current_ECV - Target_ECV_After_Debuff) + ((Target_Tile_Value_Before - Target_Tile_Value_After_Debuff) * Target_expected_turns_alive * 0.5),,,Reduces Speed by 2 for 2 rounds.
DragonScales,Dragon Scales,passive,permanent,static_or_triggered,6,,,0,0,0,0,-2,,,Passive: Dragon's Armor and Speed ignore effect-based modifiers but still scale with augments.
DragonYear,Dragon Year,buff,permanent,expected_turns_alive,6,,,3,0,0,0,(Target_ECV_After_Buff - Target_Current_ECV) + ((Target_Tile_Value_After_Buff - Target_Tile_Value_Before) * Target_expected_turns_alive * 0.5),,,Permanent: grants +2 Spell Power and +1 Armor.
Haste,Haste,buff,permanent,expected_turns_alive,6,,,2,0,0,0,(Target_ECV_After_Buff - Target_Current_ECV) + ((Target_Tile_Value_After_Buff - Target_Tile_Value_Before) * Target_expected_turns_alive * 0.5),,,Grants +2 Speed for 2 rounds.
SpeedUp,Speed up,buff,permanent,expected_turns_alive,6,,,1,0,0,0,(Target_ECV_After_Buff - Target_Current_ECV) + ((Target_Tile_Value_After_Buff - Target_Tile_Value_Before) * Target_expected_turns_alive * 0.5),,,Increases Speed by 1.
Quickness,Quickness,buff,permanent,expected_turns_alive,6,,,2,0,0,0,(Target_ECV_After_Buff - Target_Current_ECV) + ((Target_Tile_Value_After_Buff - Target_Tile_Value_Before) * Target_expected_turns_alive * 0.5),,,Increases Speed and Spell Power by 1.
Regen,Regen,buff,7,expected_turns_alive,6,heal,1,0,0,0,0,Target_expected_turns_alive*1,,,Heals 1 at the beginning of each round for up to 7 rounds.
Spores,Spores,debuff,7,expected_turns_alive,6,damage,1,0,0,0,0.65,Target_expected_turns_alive*2,,,Deals 1 damage at the beginning of each round and heals the applier for 1.
ProtectiveGrowth,Protective Growth,buff,permanent,static_or_triggered,6,,,0,0,4,0,Target_expected_turns_alive*1,,,Enemy multi-target spells are redirected to this hero.
Dexterity,Dexterity,buff,permanent,expected_turns_alive,6,,,2,0,0,0,(Target_ECV_After_Buff - Target_Current_ECV) + ((Target_Tile_Value_After_Buff - Target_Tile_Value_Before) * Target_expected_turns_alive * 0.5),,,Permanently grants +1 Armor and +1 Speed.
DexterityII,Dexterity II,buff,permanent,expected_turns_alive,6,,,4,0,0,0,(Target_ECV_After_Buff - Target_Current_ECV) + ((Target_Tile_Value_After_Buff - Target_Tile_Value_Before) * Target_expected_turns_alive * 0.5),,,Permanently grants +2 Armor and +2 Speed.
Bleed,Bleed,debuff,permanent,expected_turns_alive,6,damage,1,0,0,0,0,Target_expected_turns_alive*1,,,Deals 1 Damage at the beginning of each round.
Leech,Leech,debuff,permanent,expected_turns_alive,6,damage,3,0,0,0,0,Target_expected_turns_alive*3,,,Deals 3 damage at the beginning of each round.
Elixir,Elixir,buff,permanent,expected_turns_alive,6,,,3,0,0,0,(Target_ECV_After_Buff - Target_Current_ECV) + ((Target_Tile_Value_After_Buff - Target_Tile_Value_Before) * Target_expected_turns_alive * 0.5),,,"Permanently grants +1 Speed, +1 Armor, and +1 Spell Power."
LieInWait,Lie In Wait,buff,5,expected_turns_alive,5,,,2,0,5,0,Target_expected_turns_alive*3,,,Grants +2 Spell Power and makes the affected hero untargetable by single-target spells for 5 rounds.
LieInWaitLevel5,Lie In Wait,buff,1,expected_turns_alive,1,,,2,0,5,0,Target_expected_turns_alive*1,,,Grants +2 Spell Power and makes the affected hero untargetable by single-target spells for 1 round.
