heroId,heroName,appearances,wins,losses,draws,winRate,nonDrawRate
stonecasedKingID,Stonecased King,66,59,6,1,0.8939,0.9077
rockGolemID,Rock Golem,9,8,1,0,0.8889,0.8889
timeMageID,Time Mage,48,40,8,0,0.8333,0.8333
shieldMaidenID,Shield Maiden,215,177,38,0,0.8233,0.8233
tetheredSpiritID,Tethered Spirit,24,19,5,0,0.7917,0.7917
tinkererID,Tinkerer,27,21,6,0,0.7778,0.7778
geishaID,Geisha,97,74,23,0,0.7629,0.7629
bloodGolemID,Blood Golem,129,98,29,2,0.7597,0.7717
paladinID,Paladin,4,3,1,0,0.75,0.75
druidID,Druid,315,233,80,2,0.7397,0.7444
lancerID,Lancer,360,266,91,3,0.7389,0.7451
pyroID,Pyro,231,168,61,2,0.7273,0.7336
priestID,Priest,65,47,18,0,0.7231,0.7231
executionerID,Executioner,18,13,5,0,0.7222,0.7222
titanID,Titan,301,212,89,0,0.7043,0.7043
alchemistID,Alchemist,162,112,50,0,0.6914,0.6914
rogueID,Rogue,173,119,53,1,0.6879,0.6919
vampireID,Vampire,179,123,56,0,0.6872,0.6872
clericID,Cleric,151,101,49,1,0.6689,0.6733
nephilimID,Nephilim,357,237,119,1,0.6639,0.6657
reaperID,Reaper,108,70,37,1,0.6481,0.6542
dragonID,Dragon,261,168,92,1,0.6437,0.6462
innKeeperID,Inn Keeper,141,88,53,0,0.6241,0.6241
fireGolemID,Fire Golem,82,51,31,0,0.622,0.622
riderID,Rider,36,21,15,0,0.5833,0.5833
arcaneMageID,Arcane Mage,107,62,45,0,0.5794,0.5794
lightningMageID,Lightning Mage,7,4,3,0,0.5714,0.5714
berserkerID,Berserker,368,210,157,1,0.5707,0.5722
warriorID,Warrior,335,189,146,0,0.5642,0.5642
sorceressID,Sorceress,109,60,49,0,0.5505,0.5505
trollID,Troll,293,161,131,1,0.5495,0.5514
queenID,Queen,281,152,128,1,0.5409,0.5429
princeID,Prince,376,202,173,1,0.5372,0.5387
bileCreatureID,Bile Creature,202,108,92,2,0.5347,0.54
jesterID,Jester,312,164,148,0,0.5256,0.5256
dragonlingID,Dragonling,342,174,166,2,0.5088,0.5118
greenDragonID,Green Dragon,235,118,116,1,0.5021,0.5043
bountyHunterID,Bounty Hunter,38,19,19,0,0.5,0.5
fallenAngelID,Fallen Angel,225,109,115,1,0.4844,0.4866
iceMageID,Ice Mage,184,89,94,1,0.4837,0.4863
witchDoctorID,Witch Doctor,216,103,112,1,0.4769,0.4791
drunkardID,Drunkard,350,166,183,1,0.4743,0.4756
poisonMageID,Poison Mage,19,9,10,0,0.4737,0.4737
fireMageID,Fire Mage,276,129,146,1,0.4674,0.4691
angelID,Angel,236,109,125,2,0.4619,0.4658
blacksmithID,Blacksmith,113,49,62,2,0.4336,0.4414
necromancerID,Necromancer,171,74,97,0,0.4327,0.4327
axemanID,Axeman,109,47,62,0,0.4312,0.4312
bloodmageID,Blood Mage,351,151,199,1,0.4302,0.4314
prisonerID,Prisoner,280,114,165,1,0.4071,0.4086
huntressID,Huntress,354,144,210,0,0.4068,0.4068
ninjaID,Ninja,180,73,107,0,0.4056,0.4056
knightID,Knight,35,14,21,0,0.4,0.4
samuraiID,Samurai,128,51,77,0,0.3984,0.3984
nymphID,Nymph,293,116,176,1,0.3959,0.3973
elementalistID,Elementalist,215,84,129,2,0.3907,0.3944
assassinID,Assassin,192,75,116,1,0.3906,0.3927
monkID,Monk,232,90,142,0,0.3879,0.3879
specterID,Specter,336,130,206,0,0.3869,0.3869
darkMageID,Dark Mage,276,106,170,0,0.3841,0.3841
demonID,Demon,276,104,172,0,0.3768,0.3768
enchantressID,Enchantress,313,115,198,0,0.3674,0.3674
darkKnightID,Dark Knight,80,28,52,0,0.35,0.35
giantID,Giant,401,140,259,2,0.3491,0.3509
thiefID,Thief,28,9,19,0,0.3214,0.3214
archerID,Archer,190,59,131,0,0.3105,0.3105
elderID,Elder,225,67,158,0,0.2978,0.2978
summonerID,Summoner,230,68,162,0,0.2957,0.2957
apothecaryID,Apothecary,254,72,182,0,0.2835,0.2835
waterGolemID,Water Golem,265,68,197,0,0.2566,0.2566
battleMageID,Battle Mage,16,3,13,0,0.1875,0.1875
werewolfID,Werewolf,385,63,321,1,0.1636,0.1641
kingID,King,1,0,1,0,0,0
natureGolemID,Nature Golem,1,0,1,0,0,0
